word,shortened
you,u
your,ur
you're,ur
are,r
before,b4
to,2
too,2
for,4
four,4
great,gr8
later,l8r
mate,m8
wait,w8
see,c
why,y
okay,ok
please,pls
people,ppl
message,msg
thanks,thx
because,cuz
with,w/
without,w/o
about,abt
tomorrow,tmrw
tonight,2nite
today,2day
tonight,nite
right,rite
night,nite
love,luv
easy,ez
really,rly
probably,prob
definitely,def
information,info
picture,pic
pictures,pics
people,ppl
something,smth
nothing,nthg
everything,evrythg
someone,sm1
anyone,ne1
everyone,evry1
anybody,nebody
birthday,bday
congratulations,congrats
vacation,vacay
application,app
favorite,fav
through,thru
though,tho
thought,thot
what,wat
going,goin
coming,comin
doing,doin
whatever,w/e
school,skool
minutes,mins
seconds,secs
appointment,appt
totally, totes
skate, sk8
